dominant_biome,air,dirt,water,short_grass,grass_block,sand,tall_seagrass,oak_leaves,birch_leaves,oak_log,tall_grass,birch_log,kelp,kelp_plant,dark_oak_log,dark_oak_leaves,spruce_leaves,spruce_log,bush,sandstone,brown_mushroom,dandelion,podzol,red_mushroom_block,mushroom_stem,poppy,coarse_dirt,oxeye_daisy,emerald_ore,lily_pad,snow,acacia_leaves
6,0.5883863001234808,0.1436548223350253,0.1049732840115084,0.183206106870229,0.2325581395348837,0.0877697841726618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5214141808019757,0.1431472081218274,0.3469790382244143,0.0,0.0,0.0100719424460431,0.2807017543859649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4521349190875414,0.4406091370558375,0.0,0.1068702290076335,0.5285412262156448,0.0,0.0,0.1898395721925133,0.3046218487394957,0.217391304347826,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5682719178527328,0.2573604060913705,0.1893136046033703,0.0,0.0,0.1705035971223021,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.3894736842105263,0.3488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4892441671540911,0.6086294416243655,0.0873818331278257,0.0076335877862595,0.53276955602537,0.0,0.0,0.2660427807486631,0.1554621848739495,0.2898550724637681,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2479040748683953,0.4548223350253807,0.0060008220304151,0.0687022900763358,0.0380549682875264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964882943143813,0.594855305466238,0.0,0.0,0.0285714285714285,0.0,0.5928753180661578,0.0,0.0,0.0,0.0222929936305732,0.0,0.0,0.0,0.0,0.0
6,0.5582309741989991,0.3862944162436548,0.1454993834771886,0.3740458015267175,0.5412262156448203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.4749788782738675,0.6467005076142132,0.0028771064529387,0.0,0.4989429175475687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909698996655518,0.1511254019292604,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4110612855007474,0.6253807106598985,0.0,0.0534351145038167,0.5200845665961945,0.0,0.0,0.1336898395721925,0.0,0.1739130434782608,0.0,0.0,0.0,0.0,0.427536231884058,0.543247344461305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1986092155715864,0.6081218274111675,0.0,0.0076335877862595,0.5285412262156448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2224080267558528,0.1221864951768488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4928186131149671,0.1766497461928934,0.6087135224003288,0.0,0.0,0.0827338129496402,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5221615649574316,0.1548223350253807,0.2737361282367447,0.0,0.0,0.0,0.0701754385964912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.4985052316890881,0.3015228426395939,0.1336621454993835,0.0,0.0,0.3935251798561151,0.1403508771929824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4419410745233968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
